H_TENURE,GEREG,HEFAMINC,HH5TO18,HNUMFAM,H_NUMPER,H_YEAR,H_MONTH,HHINC,HWSVAL,HSEVAL,HEARNVAL,HFRVAL,HANNVAL,HCSPVAL,HDISVAL,HDIVVAL,HEDVAL,HFINVAL,HINTVAL,HOIVAL,HOTHVAL,HPAWVAL,HPENVAL,HRNTVAL,HSSIVAL,HSSVAL,HSURVAL,HUCVAL,HVETVAL,HWCVAL,HPROP_VAL
2,4,15,2,1,4,2020,3,25,60000,0,60000,0,0,0,0,0,0,0,21,0,21,0,0,0,0,0,0,0,0,0,0
1,4,15,0,1,3,2020,3,41,9600,0,9600,0,0,0,0,0,0,0,6015,0,144015,0,78000,48000,0,0,0,0,0,0,500000
1,4,8,2,2,5,2020,3,18,40000,0,40000,0,0,0,0,0,0,0,2500,0,2500,0,0,0,0,0,0,0,0,0,400000
1,4,11,1,1,3,2020,3,39,75000,0,75000,0,0,0,0,0,0,0,17,0,20033,0,0,0,0,0,0,0,20016,0,70000
1,4,5,0,1,2,2020,3,4,0,9000,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000
1,4,15,1,1,4,2020,3,26,63000,0,63000,0,0,0,0,600,0,0,951,0,1551,0,0,0,0,0,0,0,0,0,130000
1,4,15,2,1,4,2020,3,41,105140,0,105140,0,0,0,0,0,0,0,0,6424,6424,0,0,0,0,0,0,0,0,0,175000
2,4,6,2,1,3,2020,3,22,9300,0,9300,0,0,0,0,0,0,0,0,0,45660,0,0,0,0,45000,660,0,0,0,0
1,4,10,1,2,5,2020,3,23,50000,0,50000,0,0,0,0,0,6000,0,0,0,6000,0,0,0,0,0,0,0,0,0,115000
1,4,11,0,1,2,2020,3,20,0,0,0,0,0,0,0,0,0,0,2,0,48893,0,0,0,0,46683,2208,0,0,0,1500000
1,4,16,1,1,3,2020,3,41,120000,0,120000,0,0,0,0,45,0,0,3272,0,1317,0,0,-2000,0,0,0,0,0,0,280000
1,4,15,0,1,2,2020,3,41,120000,0,120000,0,0,0,0,0,0,0,432,0,22032,0,0,0,0,21600,0,0,0,0,500000
1,4,1,0,1,2,2020,3,8,0,0,0,0,0,0,0,0,0,0,0,0,19620,0,0,0,0,19620,0,0,0,0,135000
2,4,-1,0,0,0,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,14,1,1,3,2020,3,20,48800,0,48800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,11,0,1,4,2020,3,21,52000,0,52000,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,215000
1,4,15,0,2,2,2020,3,41,152302,0,152302,0,0,0,0,500,0,0,42029,0,42529,0,0,0,0,0,0,0,0,0,600000
1,4,16,1,1,3,2020,3,41,125000,0,125000,0,0,0,0,0,0,0,1835,0,1835,0,0,0,0,0,0,0,0,0,325000
2,4,7,1,1,3,2020,3,16,30000,0,30000,0,0,0,0,0,0,0,1,0,9721,0,0,0,0,0,0,9720,0,0,0
2,4,11,0,1,2,2020,3,25,62200,0,62200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,11,1,2,3,2020,3,37,75000,0,75000,0,0,0,0,0,0,0,1501,0,16502,0,0,0,15001,0,0,0,0,0,0
2,4,-1,0,0,0,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,6,1,2,4,2020,3,27,65000,0,65000,0,0,0,0,0,0,0,1000,0,1000,0,0,0,0,0,0,0,0,0,180000
1,4,-1,0,0,0,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,-1,0,0,0,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,10,0,1,2,2020,3,20,0,0,0,0,0,0,0,0,0,0,18,0,48378,0,15960,0,0,17400,15000,0,0,0,120000
1,4,14,0,1,2,2020,3,41,95000,0,95000,0,0,0,0,0,0,0,6,0,9546,0,0,0,0,9540,0,0,0,0,30000
2,4,8,0,0,0,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,9,3,1,5,2020,3,20,48400,0,48400,0,0,0,0,0,0,0,31,0,31,0,0,0,0,0,0,0,0,0,250000
1,4,8,0,1,2,2020,3,41,180000,0,180000,0,0,0,0,0,0,0,2001,0,2001,0,0,0,0,0,0,0,0,0,380000
1,4,13,1,1,5,2020,3,34,82000,0,82000,0,0,0,0,0,0,500,452,0,952,0,0,0,0,0,0,0,0,0,300000
2,4,5,0,1,1,2020,3,22,54000,0,54000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,15,0,2,2,2020,3,41,176000,0,176000,0,0,0,0,1000,0,0,9200,0,14200,0,0,4000,0,0,0,0,0,0,300000
1,4,7,0,2,2,2020,3,41,100200,0,100200,0,0,0,0,0,0,0,0,0,24600,0,0,0,0,22800,1800,0,0,0,350000
1,4,10,0,1,3,2020,3,18,14000,30000,44000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80000
1,4,14,1,1,3,2020,3,41,118000,0,118000,0,0,0,0,0,0,0,80100,0,80100,0,0,0,0,0,0,0,0,0,429000
2,4,1,0,1,1,2020,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6600,0,0,0,0,6600,0,0,0,0,0
1,4,8,0,1,3,2020,3,30,0,0,0,0,0,0,0,0,0,0,0,0,73038,0,26400,0,0,46638,0,0,0,0,1700000
1,4,12,5,1,7,2020,3,23,55000,0,55000,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,250000
2,4,14,0,2,2,2020,3,39,95760,0,95760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,15,0,1,4,2020,3,41,116000,0,116000,0,0,0,0,0,0,0,2051,0,2051,0,0,0,0,0,0,0,0,0,325000
2,4,16,0,2,2,2020,3,41,295000,0,295000,0,0,0,0,0,0,0,22000,0,22000,0,0,0,0,0,0,0,0,0,0
2,4,5,0,2,4,2020,3,39,85220,6000,97220,6000,0,0,0,0,0,0,4,0,5,0,0,1,0,0,0,0,0,0,0
2,4,-1,0,0,0,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,-1,0,0,0,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,14,0,2,2,2020,3,41,106000,0,106000,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,100000
1,4,15,0,1,1,2020,3,41,0,0,0,0,0,0,0,3000,0,0,12739,0,536359,0,0,450000,0,25620,0,0,0,0,375000
1,4,11,3,1,4,2020,3,14,0,0,0,0,0,960,0,0,0,0,5,0,33965,0,0,0,3000,0,0,0,30000,0,250000
2,4,11,0,1,1,2020,3,17,42000,0,42000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,14,0,1,2,2020,3,32,77000,0,77000,0,0,0,0,0,0,0,300,0,1104,0,0,0,0,0,0,804,0,0,0
1,4,15,0,3,9,2020,3,41,106885,0,106885,0,0,0,0,0,0,0,1326,0,76368,0,0,0,7788,64854,0,0,0,0,350000
1,4,16,0,2,2,2020,3,41,200000,0,200000,0,0,0,0,200,0,0,600,0,800,0,0,0,0,0,0,0,0,0,310000
1,4,5,0,1,1,2020,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2607,0,0,0,0,2607,0,0,0,0,1400000
2,4,8,1,1,2,2020,3,13,26396,0,26396,0,0,1185,0,0,0,0,0,3212,4397,0,0,0,0,0,0,0,0,0,0
1,4,11,0,1,2,2020,3,24,0,0,0,0,0,0,0,0,0,0,16,0,59362,0,38736,0,0,20610,0,0,0,0,29000
1,4,7,0,2,2,2020,3,8,9000,0,9000,0,0,0,0,0,0,0,70,0,10810,0,0,0,0,10740,0,0,0,0,375000
2,4,9,0,1,1,2020,3,14,31000,1900,32900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,14,1,2,4,2020,3,12,2000,0,2000,0,0,0,0,0,0,0,0,0,27816,0,0,0,11496,16320,0,0,0,0,23000
1,4,3,0,1,2,2020,3,7,0,0,0,0,0,0,0,0,0,0,15,0,15855,0,0,0,0,15840,0,0,0,0,200000
1,4,15,1,2,4,2020,3,41,151600,0,151600,0,0,0,0,2000,0,0,30615,0,32615,0,0,0,0,0,0,0,0,0,250000
2,4,8,1,1,4,2020,3,15,0,35000,35000,0,0,0,0,0,0,0,21,0,21,0,0,0,0,0,0,0,0,0,0
1,4,8,0,1,2,2020,3,13,0,0,0,0,0,0,5856,0,0,0,0,0,32112,0,0,0,0,26256,0,0,0,0,200000
1,4,13,0,1,2,2020,3,41,0,0,0,0,0,0,0,1700,0,0,200,0,104134,0,60600,0,0,41634,0,0,0,0,420000
1,4,14,0,1,2,2020,3,40,35000,0,35000,0,0,0,0,547,0,0,46,0,62993,0,0,30000,0,32400,0,0,0,0,800000
1,4,12,0,1,2,2020,3,36,88300,0,88300,0,0,0,0,0,0,0,13,0,13,0,0,0,0,0,0,0,0,0,200000
1,4,14,0,1,1,2020,3,31,60000,0,60000,0,0,0,0,0,0,0,0,0,15684,0,0,0,0,15684,0,0,0,0,300000
1,4,16,0,2,5,2020,3,41,103853,41641,145493,-1,0,0,0,0,0,0,56,0,89350,0,56000,0,0,21426,0,0,0,11868,1400
1,4,9,0,1,1,2020,3,29,70000,0,70000,0,0,0,0,0,0,0,0,0,500,0,0,500,0,0,0,0,0,0,550000
1,4,7,0,1,1,2020,3,9,0,0,0,0,0,0,0,0,0,0,0,0,21420,0,0,0,0,21420,0,0,0,0,45000
1,4,16,0,1,1,2020,3,33,0,0,0,0,0,0,0,20000,0,0,10000,0,81426,0,0,24000,0,12426,0,0,0,0,850000
1,4,13,0,1,1,2020,3,31,0,0,0,0,0,0,0,0,0,0,355,0,76273,0,48144,6000,0,21774,0,0,0,0,600000
2,4,7,1,1,3,2020,3,10,23000,0,23000,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1,4,-1,0,0,0,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,13,0,1,2,2020,3,13,0,0,0,0,0,0,0,0,0,0,1,0,30472,0,3900,0,0,26571,0,0,0,0,225000
