H_TENURE,GEREG,HEFAMINC,HH5TO18,HNUMFAM,H_NUMPER,H_YEAR,H_MONTH,HHINC,HWSVAL,HSEVAL,HEARNVAL,HFRVAL,HANNVAL,HCSPVAL,HDISVAL,HDIVVAL,HEDVAL,HFINVAL,HINTVAL,HOIVAL,HOTHVAL,HPAWVAL,HPENVAL,HRNTVAL,HSSIVAL,HSSVAL,HSURVAL,HUCVAL,HVETVAL,HWCVAL,HPROP_VAL
2,1,1,0,3,3,2020,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,12,0,1,2,2020,3,36,59000,0,59000,0,0,0,0,0,0,0,0,0,30732,0,0,0,0,30732,0,0,0,0,172000
1,1,15,0,1,2,2020,3,12,0,0,0,0,0,0,0,0,0,0,1,0,28861,0,0,0,0,28860,0,0,0,0,30000
1,1,2,1,2,3,2020,3,7,0,0,0,0,0,0,0,0,0,0,0,0,16164,0,0,0,0,16164,0,0,0,0,250000
1,1,7,0,1,1,2020,3,7,0,0,0,0,0,0,0,0,0,0,751,0,16477,0,0,0,0,14826,0,0,0,0,200000
2,1,13,1,2,3,2020,3,24,57000,0,57000,0,0,0,0,0,1500,0,74,0,1574,0,0,0,0,0,0,0,0,0,0
2,1,12,0,1,1,2020,3,17,0,41000,41000,0,0,0,0,0,0,0,75,0,75,0,0,0,0,0,0,0,0,0,0
1,1,16,0,1,2,2020,3,41,175000,70000,245000,0,0,0,0,0,0,0,1300,0,1300,0,0,0,0,0,0,0,0,0,590000
1,1,16,2,1,4,2020,3,41,179000,0,179000,0,0,0,0,0,0,0,50004,0,50004,0,0,0,0,0,0,0,0,0,140000
2,1,-1,0,0,0,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,15,1,1,4,2020,3,41,180000,0,180000,0,0,0,0,0,0,0,17092,0,17092,0,0,0,0,0,0,0,0,0,550000
2,1,6,0,1,1,2020,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,9,0,2,2,2020,3,41,120000,0,120000,0,0,0,0,500,0,0,1851,0,2351,0,0,0,0,0,0,0,0,0,0
2,1,13,0,1,1,2020,3,25,60000,0,60000,0,0,0,0,0,0,0,181,0,181,0,0,0,0,0,0,0,0,0,0
2,1,11,0,1,2,2020,3,15,12697,0,12697,0,0,0,0,0,24000,0,222,0,24222,0,0,0,0,0,0,0,0,0,0
1,1,16,3,1,5,2020,3,41,354000,0,354000,0,0,0,0,0,0,0,2262,0,2262,0,0,0,0,0,0,0,0,0,300000
